title,url,keywords
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"Bion-M 1 biosatellite, biomedical research in space, microgravity adaptation, C57/BL6 mice, in vivo measurements, in vitro studies, space habitats, mice training program, behavioral/functional test battery, Earth's gravity disadaptation"
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"microgravity, bone loss, osteocytic osteolysis, osteoclast-mediated bone resorption, CDKN1a/p21, cell cycle arrest, µCT, X-ray nanoCT, matrix metalloproteinases (MMP), STS-131 space shuttle mission"
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"microgravity, immune system disruption, T cell activation, cytokine production, macrophage differentiation, cancer spheroids, Hippo pathway, PI3K-Akt pathway, stem cell differentiation, mitochondrial biogenesis"
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"adipose-derived stem cells, microgravity culture, polystyrene microsphere, collagen microsphere, stemness preservation, pluripotent markers, SSEA-3(+) hASCs, multilineage-differentiating stress-enduring cell, regenerative therapies, wave-stirring shaker"
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"International Space Station (ISS) National Laboratory, microgravity, gene expression analysis, real-time PCR, WetLab-2, on-orbit molecular biology, Reverse Transcriptase-quantitative PCR, PCR efficiency, cycle threshold (Ct), bubble formation in microgravity"
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"spaceflight, microgravity, cardiac deconditioning, oxidative stress, gene expression, Nfe2l2 (Nrf2), Nox1, Ptgs2, Cdkn1a (p21), Myc"
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"space radiation, osteoblastogenesis, linear-energy-transfer (LET), protons, 56 Fe ions, cancellous bone, microcomputed tomography, redox-related genes, superoxide dismutase (SOD), bone remodeling"
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"translational research, NASA, Space Biology and Human Research Program, human spaceflight, collaborative research, early-stage translational research, multidisciplinary disciplines, agency coordination, translational research efforts, NASA-sponsored research"
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"cyclic compressive loading, mouse vertebral bodies, 3D-printed support jigs, pivotable loading platens, micro-CT-based finite element analysis, fatigue life, biomechanical testing, bone quality, small-animal vertebrae, mechanical behavior scatter"
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"ionizing radiation, bone embrittlement, collagen fragmentation, non-enzymatic collagen crosslinking, ex vivo x-ray radiation, mouse lumbar vertebrae, monotonic compressive strength, cyclic-loading compressive properties, radiotherapy, bone sterilization"
